provenance_id,frame_id,frame_record,candidate_ids,relationship,notes
hma-018,hma_rock_ice,HMA_xlsx_row_24_ID_22,aru-2-2016,one_to_one,Reconstruction treats the pulses as one source detachment
hma-019,hma_rock_ice,HMA_xlsx_row_26_ID_24,gayari-2012,one_to_one,Numeric qualifier disposition
hma-020,hma_rock_ice,HMA_xlsx_row_31_ID_27,hunza-nagar-2009,one_to_one,Numeric qualifier disposition
hma-021,hma_rock_ice,HMA_xlsx_row_33_ID_28,siachen-2010-01;siachen-2010-02;siachen-2010-03;siachen-2010-04;siachen-2010-05;siachen-2010-06;siachen-2010-07,one_to_many,Seven seismically detected failures expanded without inheriting aggregate volume
hma-022,hma_rock_ice,HMA_xlsx_row_34_ID_29,naltar-2021,one_to_one,Numeric qualifier disposition
hma-023,hma_rock_ice,HMA_xlsx_row_36_ID_31,north-terong-2000,one_to_one,Numeric qualifier disposition
hma-024,hma_rock_ice,HMA_xlsx_row_37_ID_32,petra-sk03;petra-sk06;petra-sk16a;petra-sk16b,one_to_many,Compound inventory row expanded by occurrence
hma-025,hma_rock_ice,HMA_xlsx_row_38_ID_32,petra-sk04;petra-sk10;shuraki-kapali-2017;petra-sk19,one_to_many,Compound inventory row expanded by occurrence
hma-026,hma_rock_ice,HMA_xlsx_row_40_ID_34,petra-dp19,one_to_one,Numeric qualifier disposition
hma-027,hma_rock_ice,HMA_xlsx_row_41_ID_35,petra-shi09,one_to_one,Numeric qualifier disposition
hma-028,hma_rock_ice,HMA_xlsx_row_42_ID_35,petra-shi01;petra-shi17a;petra-shi17b,one_to_many,Compound inventory row expanded by occurrence
hma-029,hma_rock_ice,HMA_xlsx_row_43_ID_36,petra-sha19;petra-sha06,one_to_many,Compound inventory row expanded by occurrence
hma-030,hma_rock_ice,HMA_xlsx_row_49_ID_42,amney-machen-2004;amney-machen-2007;amney-machen-2016;amney-machen-2019,one_to_many,Compound inventory row expanded without inheriting aggregate size
hma-031,hma_rock_ice,HMA_xlsx_row_50_ID_43,sedongpu-2014;sedongpu-2017-oct;sedongpu-2017-dec,one_to_many,Compound inventory row expanded by occurrence
hma-032,hma_rock_ice,HMA_xlsx_row_51_ID_43,sedongpu-2018;sedongpu-2018-oct29,one_to_many,Compound inventory row expanded by occurrence
hma-033,hma_rock_ice,HMA_xlsx_row_52_ID_43,sedongpu-2019;sedongpu-2021-mar,one_to_many,Compound inventory row expanded by occurrence
hma-034,hma_rock_ice,HMA_xlsx_row_53_ID_44,yigong-2000,one_to_one,Numeric qualifier disposition
hma-035,hma_rock_ice,HMA_xlsx_row_54_ID_45,peilong-2015,one_to_one,Numeric qualifier disposition
hma-036,hma_rock_ice,HMA_xlsx_row_57_ID_46,bomi-2017,one_to_one,Numeric qualifier disposition
hma-037,hma_rock_ice,HMA_xlsx_row_59_ID_48,miyar-2009,one_to_one,Numeric qualifier disposition
hma-038,hma_rock_ice,HMA_xlsx_row_60_ID_49,dzhuku-2022,one_to_one,Numeric qualifier disposition
